"Step","/mnt/data_nvme1/minghao.fu/logs/outputs_robomimic_lift/2026-01-21/05-21-37_robomimic_lift_f5_h3_p1 - train_z_projected_err_pred","/mnt/data_nvme1/minghao.fu/logs/outputs_robomimic_lift/2026-01-21/05-21-37_robomimic_lift_f5_h3_p1 - train_z_projected_err_pred__MIN","/mnt/data_nvme1/minghao.fu/logs/outputs_robomimic_lift/2026-01-21/05-21-37_robomimic_lift_f5_h3_p1 - train_z_projected_err_pred__MAX"
"404","0.9148766398429871","0.9148766398429871","0.9148766398429871"
"772","0.08632145822048187","0.08632145822048187","0.08632145822048187"
"1140","0.04394116625189781","0.04394116625189781","0.04394116625189781"
"1508","0.03222713991999626","0.03222713991999626","0.03222713991999626"
"1876","0.027191992849111557","0.027191992849111557","0.027191992849111557"
"2244","0.024652602151036263","0.024652602151036263","0.024652602151036263"
"2612","0.02253173105418682","0.02253173105418682","0.02253173105418682"
"2980","0.02107299491763115","0.02107299491763115","0.02107299491763115"
"3348","0.020283618941903114","0.020283618941903114","0.020283618941903114"
"3716","0.019566455855965614","0.019566455855965614","0.019566455855965614"
"4084","0.01907503232359886","0.01907503232359886","0.01907503232359886"
"4452","0.01876700669527054","0.01876700669527054","0.01876700669527054"
"4820","0.018700813874602318","0.018700813874602318","0.018700813874602318"
"5188","0.018424300476908684","0.018424300476908684","0.018424300476908684"
"5556","0.01811133697628975","0.01811133697628975","0.01811133697628975"
"5924","0.0181747954338789","0.0181747954338789","0.0181747954338789"
"6292","0.018064413219690323","0.018064413219690323","0.018064413219690323"
"6660","0.017780477181077003","0.017780477181077003","0.017780477181077003"
"7028","0.017807824537158012","0.017807824537158012","0.017807824537158012"
"7396","0.01774544082581997","0.01774544082581997","0.01774544082581997"
"7764","0.01750042289495468","0.01750042289495468","0.01750042289495468"
"8132","0.017573093995451927","0.017573093995451927","0.017573093995451927"
"8500","0.017520807683467865","0.017520807683467865","0.017520807683467865"
"8868","0.0174426157027483","0.0174426157027483","0.0174426157027483"
"9236","0.017275428399443626","0.017275428399443626","0.017275428399443626"
"9604","0.017314301803708076","0.017314301803708076","0.017314301803708076"
"9972","0.017289848998188972","0.017289848998188972","0.017289848998188972"
"10340","0.017365729436278343","0.017365729436278343","0.017365729436278343"
"10708","0.01737344264984131","0.01737344264984131","0.01737344264984131"
"11076","0.017299016937613487","0.017299016937613487","0.017299016937613487"
"11444","0.017283933237195015","0.017283933237195015","0.017283933237195015"
"11812","0.017254138365387917","0.017254138365387917","0.017254138365387917"
"12180","0.017313538119196892","0.017313538119196892","0.017313538119196892"
"12548","0.01727657951414585","0.01727657951414585","0.01727657951414585"
"12916","0.0172148197889328","0.0172148197889328","0.0172148197889328"
"13284","0.017199663445353508","0.017199663445353508","0.017199663445353508"
"13652","0.017287947237491608","0.017287947237491608","0.017287947237491608"
"14020","0.01722167618572712","0.01722167618572712","0.01722167618572712"
"14388","0.017222460359334946","0.017222460359334946","0.017222460359334946"
"14756","0.017203817144036293","0.017203817144036293","0.017203817144036293"
"15124","0.01721496693789959","0.01721496693789959","0.01721496693789959"
"15492","0.01733568124473095","0.01733568124473095","0.01733568124473095"
"15860","0.017373325303196907","0.017373325303196907","0.017373325303196907"
"16228","0.017450936138629913","0.017450936138629913","0.017450936138629913"
"16596","0.017430217936635017","0.017430217936635017","0.017430217936635017"
"16964","0.017232509329915047","0.017232509329915047","0.017232509329915047"
"17332","0.017308400943875313","0.017308400943875313","0.017308400943875313"
"17700","0.01729699783027172","0.01729699783027172","0.01729699783027172"
"18068","0.01723441295325756","0.01723441295325756","0.01723441295325756"
"18436","0.017307845875620842","0.017307845875620842","0.017307845875620842"
"18804","0.0172247476875782","0.0172247476875782","0.0172247476875782"
"19172","0.017337564378976822","0.017337564378976822","0.017337564378976822"
"19540","0.017393898218870163","0.017393898218870163","0.017393898218870163"
"19908","0.017427783459424973","0.017427783459424973","0.017427783459424973"
"20276","0.01737602800130844","0.01737602800130844","0.01737602800130844"
"20644","0.017401089891791344","0.017401089891791344","0.017401089891791344"
